pattern,psnr,ssim,ms_ssim,vmaf
block_glitch,19.846794293843974,0.885415780523136,0.7915851349235764,61.32799
chroma_loss,17.055578720031022,0.9185828917658133,0.8762085769537284,97.133226
chroma_swap,14.07509068551551,0.8645739123799189,0.7813220541153332,92.547008
heavy_compression,22.526758869661172,0.580649249055234,0.723679917916472,30.380422
packet_loss,19.04031502360764,0.8935052551493156,0.860338175179947,57.936399
row_tearing,16.815840758236167,0.4101240646434308,0.3673178494552874,4.970966
